Name,Blockchain Supportate,Last Updated,Profilo Twitter/X,Sito Web,Tags,Token/NFT
Pudgy Penguins,"Ethereum, Layerzero","June 6, 2024",https://x.com/pudgypenguins,https://www.pudgypenguins.com/,NFT,https://opensea.io/collection/pudgypenguins
Bong Bears & Rebase,"Berachain, Ethereum","March 1, 2026",https://x.com/BongBearsNFT,https://www.berachain.com/,NFT,https://opensea.io/collection/bongbears
Coingecko,,"June 6, 2024",https://x.com/coingecko,coingecko.com,"Aggregatore di Dati, Analisi di Mercato, Portfolio Tracker",
Dogecoin,Dogechain,"June 6, 2024",https://x.com/dogecoin,https://dogecoin.com/,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/dogecoin
Pepe (coin),Ethereum,"June 6, 2024",https://x.com/pepecoineth,https://www.pepe.vip/,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/pepe
Apu,Ethereum,"June 6, 2024",https://x.com/ApusCoin,https://apu.com/,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/apu-apustaja
Chainlink,,"June 6, 2024",https://x.com/chainlink,https://chain.link/,"Criptovaluta, Interoperabilità (Cross-Chain)",https://www.coingecko.com/en/coins/chainlink
deBridge,"Arbitrum, Avalanche, Base, Blast, Ethereum, Linea, Optimism, Polygon, Solana, zkSync","March 1, 2026",https://x.com/deBridgeFinance,https://debridge.finance/,"Bridge, DeFi",https://www.coingecko.com/en/coins/debridge
Curve,"Arbitrum, Avalanche, BSC, Base, Ethereum, Optimism, Polygon","June 6, 2024",https://x.com/CurveFinance,https://curve.fi/,"Criptovaluta, DeFi, Exchange Decentralizzato (DEX), Stablecoin",https://www.coingecko.com/en/coins/curve-dao-token
Raydium,Solana,"June 6, 2024",https://x.com/RaydiumProtocol,raydium.io,"Criptovaluta, DeFi, Exchange Decentralizzato (DEX)",https://www.coingecko.com/en/coins/raydium
Jupiter,Solana,"June 6, 2024",https://x.com/JupiterExchange,jup.ag,"Criptovaluta, DeFi, Exchange Decentralizzato (DEX)",https://www.coingecko.com/en/coins/jupiter
Camelot,"Arbitrum, Sanko, XAI","June 6, 2024",https://x.com/CamelotDEX,https://app.camelot.exchange/,"Criptovaluta, DeFi, Exchange Decentralizzato (DEX)",https://www.coingecko.com/en/coins/camelot-token
Dexscreener,"Arbitrum, Avalanche, BSC, Base, Ethereum, Optimism, Polygon, Solana","June 6, 2024",https://x.com/dexscreener,dexscreener.com,Aggregatore di Dati,
Liquity,Ethereum,"June 6, 2024",https://x.com/LiquityProtocol,liquity.org,"Criptovaluta, DeFi, Prestiti Decentralizzati",https://www.coingecko.com/en/coins/liquity
Retardio,Solana,"June 6, 2024",https://x.com/retardiosolana,https://retardio.xyz/,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/retardio
Degen,"Base, Degen","March 1, 2026",https://x.com/degentokenbase,degen.tips,"Blockchain, Criptovaluta, L3, Memecoin",https://www.coingecko.com/en/coins/degen-base
TN100X (Ham / TheLP),"Base, Ethereum","June 6, 2024",https://x.com/HamOnWarpcast,https://ham.fun/,"Criptovaluta, Memecoin, NFT",https://www.coingecko.com/en/coins/tn100x
Higher,Base,"June 6, 2024",https://x.com/higheronchain,https://www.aimhigher.net/,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/higher
Tremp,Solana,"June 6, 2024",https://x.com/dolandtremp_sol,tremp.xyz,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/doland-tremp
Boden,Solana,"June 6, 2024",https://x.com/boden4pres,boden4pres.com,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/jeo-boden
Kenidy,Solana,"June 6, 2024",https://x.com/kenidy_on_sol,kenidy.io,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/ruburt-f-kenidy-jr
Decentraland,"Ethereum, Polygon","June 6, 2024",https://x.com/decentraland,https://decentraland.org/,"Criptovaluta, Metaverso, NFT",https://www.coingecko.com/en/coins/decentraland
Nifty Island,Ethereum,"June 6, 2024",https://x.com/Nifty_Island,niftyisland.com,"Airdrop, Metaverso, Web3 Game",https://opensea.io/collection/nifty-island-legendary-palms
The Sandbox,"Ethereum, Polygon","June 6, 2024",https://x.com/TheSandboxGame,https://x.com/TheSandboxGame,"Criptovaluta, Metaverso, NFT",https://www.coingecko.com/en/coins/the-sandbox
Treasure,,"June 6, 2024",https://x.com/Treasure_DAO,https://treasure.lol/,"Criptovaluta, L3, Web3 Game",https://www.coingecko.com/en/coins/magic
Cielo,"Arbitrum, Base, Bitcoin, Ethereum, Optimism, Polygon, Solana, zkSync","June 6, 2024",https://x.com/cielofinance,https://cielo.finance/,"Aggregatore di Dati, Portfolio Tracker",
DeBank,"Arbitrum, Base, Ethereum, Optimism, Polygon","June 20, 2024",https://x.com/DeBankDeFi,DeBank.com,"Airdrop, DEX Aggregator, DeFi, Portfolio Tracker",
Shark Cat,Solana,"June 6, 2024",https://x.com/SharkCatSolana,sharkcatsolana.com,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/shark-cat
Dogwifhat (WIF),Solana,"June 6, 2024",https://x.com/dogwifcoin,Dogwifcoin.org,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/dogwifhat
Snapshot,"Arbitrum, Base, Ethereum, Optimism, Polygon","June 7, 2024",https://x.com/SnapshotLabs,snapshot.org,"Airdrop, DeFi, Governance",
Safe,"Arbitrum, Base, Ethereum, Optimism, Polygon","June 20, 2024",https://x.com/safe,https://safe.global/,"DeFi, Multi-sig",https://www.coingecko.com/en/coins/safe
Young Platform,,"June 8, 2024",https://x.com/youngplatform,https://exchange.youngplatform.com/,Exchange Centralizzato (CEX),
Ledger,"Arbitrum, Base, Bitcoin, Cosmos, Dogechain, Ethereum, Optimism, Polygon, Solana","June 8, 2024",https://x.com/Ledger,https://shop.ledger.com/,Portafoglio Non-custodial (Hardware Wallet),
Trezor,"Arbitrum, Base, Bitcoin, Cosmos, Dogechain, Ethereum, Optimism, Polygon, Solana","June 8, 2024",https://x.com/Trezor,https://trezor.io/,Portafoglio Non-custodial (Hardware Wallet),
Marginfi,Solana,"June 9, 2024",https://x.com/marginfi,https://www.marginfi.com/,"Airdrop, DeFi, Exchange Decentralizzato (DEX), Prestiti Decentralizzati",
Kamino,Solana,"June 9, 2024",https://x.com/KaminoFinance,https://app.kamino.finance/,"Criptovaluta, DeFi, Prestiti Decentralizzati",https://www.coingecko.com/en/coins/kamino
Scroll,,"March 1, 2026",https://x.com/Scroll_ZKP,https://scroll.io/,"Blockchain, L2",https://www.coingecko.com/en/coins/scroll
Socketscan,"Arbitrum, Base, Bitcoin, Cosmos, Ethereum, Optimism, Polygon, Solana, zkSync","June 11, 2024",https://x.com/SocketDotTech,https://www.socketscan.io/,"Aggregatore di Dati, Bridge Explorer",
Core Explorer (allbridge),"Arbitrum, Base, Bitcoin, Cosmos, Ethereum, Optimism, Polygon, Solana, zkSync","June 11, 2024",https://x.com/Allbridge_io,https://core.allbridge.io/explorer,Aggregatore di Dati,
Symbiosis Explorer,"Arbitrum, Base, Bitcoin, Cosmos, Ethereum, Optimism, Polygon, Solana, zkSync","June 11, 2024",https://x.com/symbiosis_fi,https://explorer.symbiosis.finance/,"Aggregatore di Dati, Bridge Explorer",https://www.coingecko.com/en/coins/symbiosis
Symbiosis,"Arbitrum, Avalanche, BSC, Base, Bitcoin, Blast, Cosmos, Ethereum, Linea, Optimism, Polygon, Polygon zkEVM, Scroll, Solana, zkSync","June 11, 2024",https://x.com/symbiosis_fi,https://app.symbiosis.finance/,DeFi,https://www.coingecko.com/en/coins/symbiosis
Zapper,"Arbitrum, Base, Ethereum, Optimism, Polygon, zkSync","June 18, 2024",https://x.com/zapper_fi,https://zapper.xyz/,"Airdrop, DEX Aggregator, DeFi, Portfolio Tracker",
Zerion,"Arbitrum, Base, Ethereum, Optimism, Polygon, zkSync","June 17, 2024",https://x.com/zerion,https://zerion.io/,"Airdrop, Bridge Aggregator, DEX Aggregator, DeFi, Portfolio Tracker",
Token Unlocks,,"June 14, 2024",https://x.com/Token_Unlocks,https://token.unlocks.app/,"Aggregatore di Dati, Unlocks Tracker",
Tapioca,"Arbitrum, Base, Ethereum, Optimism, Polygon","June 14, 2024",https://x.com/tapioca_dao,https://genesis.permissionless.one/,"Criptovaluta, DeFi, Interoperabilità (Cross-Chain), Prestiti Decentralizzati, Stablecoin",https://www.coingecko.com/en/coins/tapioca-dao-token
Wirex,,"June 19, 2024",https://x.com/wirexapp,https://wirexapp.com/,"Carta Cripto, On-ramp",
Moonwell,"Base, Moonbeam, Moonriver","June 19, 2024",https://x.com/MoonwellDeFi,https://moonwell.fi/,"Airdrop, Criptovaluta, DeFi, Prestiti Decentralizzati",https://www.coingecko.com/en/coins/moonwell
Nansen,"Arbitrum, Avalanche, BSC, Base, Ethereum, Linea, Optimism, Polygon, zkSync","June 21, 2024",https://x.com/nansen_ai,https://www.nansen.ai/,"Aggregatore di Dati, Unlocks Tracker",
Layer3,"Arbitrum, Avalanche, BSC, Base, Blast, Ethereum, Gnosis, Linea, Optimism, Polygon, Polygon zkEVM, Scroll, zkSync","June 21, 2024",https://x.com/layer3xyz,https://layer3.xyz/,"Airdrop, Blockchain, Bridge, Interoperabilità (Cross-Chain), L3",
Hyperlane,"Arbitrum, Avalanche, BSC, Celestia, Ethereum","March 1, 2026",https://x.com/hyperlane,https://www.hyperlane.xyz/,"Blockchain, Interoperabilità (Cross-Chain)",https://www.coingecko.com/en/coins/hyperlane
Zora,,"March 1, 2026",https://x.com/ourZORA,https://zora.co/,"Blockchain, Criptovaluta, L2, Marketplace NFT",https://www.coingecko.com/en/coins/zora
Relay Bridge,"Arbitrum, Avalanche, Base, Blast, Degen, Ethereum, Linea, Optimism, Polygon, Polygon zkEVM, Redstone, Scroll, Zora, zkSync","February 20, 2026",https://x.com/RelayProtocol,https://relay.link/,"Airdrop, Bridge, DeFi, Interoperabilità (Cross-Chain)",
Gas.zip,"Arbitrum, Avalanche, BSC, Base, Degen, Dogechain, Gnosis, Linea, Polygon, Polygon zkEVM, Scroll, XAI, Zora, zkSync","June 23, 2024",https://x.com/gasdotzip,https://www.gas.zip/,"Bridge, DeFi, Interoperabilità (Cross-Chain)",
